Frame,Time,Head / localX,Head / localY,Head / localZ,Head / localDistChanged,Head / local ThetaX,Head / local ThetaY,Head / local ThetaZ,Right Arm / localX,Right Arm / localY,Right Arm / localZ,Right Arm / localDistChanged,Right Arm / local ThetaX,Right Arm / local ThetaY,Right Arm / local ThetaZ,Left Arm / localX,Left Arm / localY,Left Arm / localZ,Left Arm / localDistChanged,Left Arm / local ThetaX,Left Arm / local ThetaY,Left Arm / local ThetaZ
Frame 68,00:00:02:833333:68f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,109.9191154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 69,00:00:02:875000:69f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,113.09445669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 70,00:00:02:916666:70f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,116.05612916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 71,00:00:02:958333:71f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,118.81641351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 72,00:00:03:000000:72f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,121.38773385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 73,00:00:03:041666:73f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,123.78232987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 74,00:00:03:083333:74f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,126.01226369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 75,00:00:03:125000:75f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,128.08899637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 76,00:00:03:166666:76f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,130.02337424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 77,00:00:03:208333:77f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,131.82562894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
